d_mk	F	dF
0	2.16799e-28	6.76877e-26
3.0000000000000001e-05	1.7225e-27	1.98724e-25
6.0000000000000002e-05	1.59165e-24	1.38555e-21
9.0000000000000006e-05	9.78218e-23	8.46568e-20
0.00012	5.9761e-26	4.55313e-23
0.00015000000000000001	5.30096e-20	5.20954e-17
0.00018000000000000001	2.65527e-23	1.93734e-20
0.00021000000000000001	8.0004e-23	6.58774e-20
0.00024000000000000001	7.23911e-23	5.88674e-20
0.00027	2.22964e-18	2.22938e-15
0.00030000000000000003	1.46805e-23	1.30241e-20
0.00033	5.8416e-20	5.82884e-17

